message,harm_type,harm_note
trust the prospect! fortune! 🔮,persuasion,"Encourages blind trust in betting picks with mystical framing, promoting reckless gambling behavior."
lets get this bread!!!,addiction_normalization,Hype language normalizes gambling as a reliable way to make money following a win.
let's hammer a mlb insider play,persuasion,"Using urgent, action-oriented language ('let's hammer') to encourage others to place bets"
I'm always here let's ride,persuasion,Encouraging group betting behavior with peer pressure language ('let's ride')
Heyyyy wuddup stunning @bridgetcase how are you doing,toxic,Unsolicited flirtatious comment toward the streamer that could be considered harassment.
The degenerate in me is eyeing Purdue live money line,addiction_normalization,"Self-identifies as a 'degenerate' gambler, normalizing compulsive betting behavior as a casual identity."
sleep is for weak people lol,addiction_normalization,"Promotes unhealthy behavior of staying up late, potentially to continue gambling/watching streams."
I was 14 In 01,,
you're looking sexy as fuck Trent,toxic,Sexually suggestive comment directed at a person on stream
you 2 banging a whale,toxic,Body-shaming and derogatory language toward women.
pushing 40 btw,,
Do they ride the short bus ?,toxic,Ableist insult mocking people with disabilities
BIEV IS HORRRRRRIBLEEEE HE LOST ME 5U TODAY FIRE HIM!!!!!!,toxic,Aggressive harassment and personal attack against a streamer/staff member
FIREEEEE BIEEEEVVVVV,toxic,Continued harassment campaign against a specific person
"This isn't you vlog Rav, grow up",toxic,Dismissive insult directed at streamer
BIEV IS ASSSSSSS,toxic,Continued harassment and insults toward a specific person
DEADASS FIRE HIM NOT JOKING I AM DOWN 15U TAILING BIEV,addiction_normalization,Normalizes significant gambling losses (15 units) while encouraging blame on others rather than personal responsibility.
This man is a retard,toxic,Uses ableist slur to insult someone on stream.
Re-tard,toxic,"Repeats ableist slur, intentionally spelling it out to evade filters."
Trent looking really breedable today 👄,toxic,Sexual/objectifying comment directed at the streamer
Not a female in sight...is this a 🏳️‍🌈 bar,toxic,Homophobic remark using LGBT flag emoji in a mocking/derogatory context
fuck biev man,toxic,Profane insult directed at a person (likely a streamer or player).
rav alcoholic,toxic,Labeling someone as an alcoholic in a mocking/insulting manner.
Hey!  I'm loving your vibe and the awesome content you're sharing!  Would be awesome to connect on X - follow back would make my day!,persuasion,Spam/manipulation attempt to gain followers through flattery and social pressure.
Hey!  I'm loving your vibe and the awesome content you're sharing!  Would be awesome to connect on X - follow back would make my day!,persuasion,Spam/manipulation attempt to gain followers through flattery and social pressure.
ZOOM OUT OF THAT CREATURE!!!!,toxic,Dehumanizing insult calling a person a 'creature'.
PRE RAV DUI MUGSHOT IS GONNA HIT LIKE CRACK!,toxic,Mocking someone's DUI mugshot and comparing excitement to drug use normalizes reckless behavior
rav how we not score there... reynolds to be shot in gta,toxic,"Joking about shooting someone, even in a video game context, contains violent language toward a player"
fuck you rav 😂😂😂😂😂😂,toxic,"Direct profane insult toward the streamer, though emojis suggest playful intent"
maybe make it a flex lineup instead of power play and maybe just maybe you would be up coin i'm js,persuasion,Pressuring streamer to change betting strategy with implied criticism of current approach
trent is soft no way he does shots,toxic,Calling someone 'soft' is a mild insult/taunt directed at the streamer
50 minute stream is soft,toxic,Using 'soft' as a mild criticism/complaint about stream length
Gunnar is ass btw,toxic,Vulgar insult directed at a player
gootz soft,toxic,Insulting/mocking a streamer or participant by calling them 'soft'
gunnar is ass,toxic,Crude insult directed at an individual
so soft man,toxic,Mocking/insulting someone as weak or soft
gootz cant do yob,toxic,Insulting someone's competence
Gootz soft as shit,toxic,Vulgar insult directed at a streamer/participant
Wahhh my arm hurts,toxic,Mocking someone sarcastically for complaining
so soft,toxic,Repeated mocking insult
"Hey mate you have really made my day with your stream ,very top notch stream if you don't mind, let's reach out on discord  dellvenom",persuasion,Spam/scam attempt to lure users to external contact via Discord
imagine thinking the Celtics won't win?? troglodytes.,toxic,Uses derogatory term 'troglodytes' to insult those with differing opinions.
get this gooner outta here,toxic,"Derogatory dismissal of another user, attempting to exclude them from the community."
Tatum PRA is a mortal lock,addiction_normalization,"Describes a bet as a 'mortal lock' implying guaranteed success, which promotes reckless gambling behavior."
Queta PR worth a look too. he might have a game with that shitbird Kalkbrenner on him,toxic,Uses vulgar insult 'shitbird' to demean a player.
this the type of game that bum derozan would do great in if he was playing,toxic,Calls player a 'bum' which is a derogatory insult.
Stiff took that meth bump,toxic,Accusation of drug use directed at another user
"is this one of those channels where no one cares, they just pretend they do",toxic,Dismissive insult toward the streamer and community
I'm just gonna zoom in on Kitty Cat's Cr0tch,toxic,Sexually inappropriate comment about someone on stream
@420AMradio watch the fuckin games burnerboy,toxic,Aggressive insult directed at another user
crooch shot,toxic,Continuation of sexually inappropriate commentary
but I am on a horrible losing streak besides the Michigan game today.. lmao,addiction_normalization,"Normalizes extended losing streaks in gambling by laughing it off, minimizing the financial/emotional impact."
I'd like to see you run a 5 minute mile irl,toxic,"Condescending challenge directed at the streamer, mildly aggressive tone."
what? make fun of you? NEVER!,toxic,Sarcastic remark implying intent to mock or ridicule the streamer.
Dan Hurley must be losing his damn 53 year old mind of the way his team is playing which i know duke is hard to beat in more ways than one 😂,toxic,Mild insult suggesting a coach is 'losing his mind' which is mildly disrespectful.
It aired Saturday  Mornings Can't Touch This came out in 90 I was 3,,
duke should just change their name to choke university at this point lol,toxic,Mocking insult directed at Duke team and fans
dukes coach wishing he took any other job at this point,toxic,Mocking the coach's career choice in a disparaging way
sup you old fucks,toxic,"Mildly aggressive/vulgar greeting directed at other users, though likely meant playfully."
White Braylons hitting game winners man. We have come a long way as a society,toxic,Racially charged comment that singles out race in a way that could be interpreted as mocking or divisive.
He's def bitchmade,toxic,Using derogatory slur to insult a person being discussed
@liilshootemup exactly such a bitch,toxic,Using derogatory language to insult the coach being discussed
since you guys are old what is favorite beatles song?,toxic,Mildly insulting comment implying the streamers/chatters are old.
Cayden Boozer needs to be strapped to a nuke,toxic,"Violent rhetoric directed at a college athlete, expressing a desire for extreme harm."
The first 10 minutes of the MSU/UConn game made me want to jump off a skyscraper.... in GTA of course,addiction_normalization,"Joking reference to suicidal ideation triggered by a gambling loss, normalizing extreme emotional reactions to betting outcomes."
biev feed yesterday made me want to eat a hollow point,toxic,Contains graphic self-harm/suicide imagery in response to gambling losses
Brayden smith terrorist,toxic,Calling a player a terrorist is inflammatory and inappropriate
SEEN IT SINCE IVE BEEN 10,,
"it's called ""being white""",toxic,Racially charged comment that could be inflammatory or offensive
I'm 31 now 🤣🤣🤣,,
he's a flopping bitch,toxic,Vulgar insult directed at a player
you sound as dumb as your username @trentsaddyplug,toxic,Direct personal insult toward another chat user
The only thing nice I'll say about Purdue is that TKR has an absolute dumptruck and and I would do anything to be a chair or couch,toxic,Sexually objectifying comment about a player
